Province Name;#Classrooms - Kindergarten;#Classrooms - Primary School;#Classrooms - Secondary School;#Classrooms - High School;#Students - Kindergarten;#Students - Primary School;#Students - Secondary School;#Students -High School;#Teachers - Kindergarten;#Teachers - Primary School;#Teachers - Secondary School;#Teachers - High School;#Schools - Kindergarten;#Schools - Primary School;#Schools - Secondary School;#Schools - High School;Schooling Ratio - Kindergarten;Schooling Ratio - Primary School;Schooling Ratio - Secondary School;Schooling Ratio - High School;Student per Teacher - Kindergarten;Student per Teacher - Primary School;Student per Teacher - Secondary School;Student per Teacher - High School;Student per School - Kindergarten;Student per School - Primary School;Student per School - Secondary School;Student per School - High School;Student per Classroom - Kindergarten;Student per Classroom - Primary School;Student per Classroom - Secondary School;Student per Classroom - High School;Education Budget per Student;HDI Index;;;;;;
Kýrklareli;363;1042;796;806;6801;15457;14638;18853;343;978;1155;1324;129;82;75;60;;;;;19,82798834;15,80470348;12,67359307;14,23942598;52,72093023;82,93902439;195,1733333;314,2166667;18,73553719;14,83397313;18,38944724;23,39081886;;;;;;;;
Kýrþehir;218;843;623;896;4571;12657;12132;15825;344;996;1257;1452;78;67;61;58;;;;;13,2877907;12,70783133;9,651551313;10,89876033;58,6025641;68,2238806;198,8852459;272,8448276;20,96788991;15,01423488;19,47351525;17,66183036;;;;;;;;
Kocaeli;2703;6621;4735;5411;54892;130080;123718;162889;3101;7141;8168;9564;779;349;366;296;;;;;17,70138665;18,21593614;15,14666993;17,03147219;70,46469833;157,2836676;338,0273224;550,3006757;20,30780614;19,64657907;26,12840549;30,10330808;;;;;;;;
Konya;2597;7550;5910;6618;49032;154522;145815;179400;3081;8962;11329;10989;878;719;583;382;;;;;15,91431353;17,24191029;12,87095066;16,32541633;55,84510251;68,19471488;250,1114923;469,6335079;18,88024644;20,46649007;24,67258883;27,10788758;;;;;;;;
Kütahya;676;1950;1419;1547;10492;26714;26939;36388;717;1944;2352;2629;250;207;164;110;;;;;14,63319386;13,74176955;11,45365646;13,84100418;41,968;50,68599034;164,2621951;330,8;15,52071006;13,69948718;18,98449612;23,52165482;;;;;;;;
Malatya;804;2639;1940;2755;15854;51967;51897;68836;888;3090;4312;4840;294;279;241;165;;;;;17,8536036;16,81779935;12,03548237;14,22231405;53,92517007;56,82437276;215,340249;417,1878788;19,71890547;19,69192876;26,75103093;24,98584392;;;;;;;;
Manisa;1380;4561;3199;3278;30008;81038;77369;101371;1562;5210;6314;6190;528;464;329;208;;;;;19,21126761;15,55431862;12,25356351;16,37657512;56,83333333;64,67241379;235,1641337;487,3605769;21,74492754;17,76759483;24,18537043;30,92464918;;;;;;;;
Kahramanmaraþ;1080;3851;3514;3365;29716;95613;95097;105590;1331;5080;6454;5933;437;461;328;198;;;;;22,32607062;18,82145669;14,7345832;17,79706725;68;64,45986985;289,929878;533,2828283;27,51481481;24,8280966;27,06232214;31,37890045;;;;;;;;
Mardin;901;3716;2489;2630;24213;80094;76784;86111;1031;4259;5127;4178;532;601;333;143;;;;;23,48496605;18,80582296;14,97639945;20,61057922;45,51315789;40,28785358;230,5825826;602,1748252;26,87347392;21,55382131;30,84933708;32,7418251;;;;;;;;
Muðla;1157;3108;2347;2395;21852;49959;48626;62236;1383;3546;4399;4478;402;320;248;165;;;;;15,80043384;14,08883249;11,05387588;13,89816883;54,35820896;68,2875;196,0725806;377,1878788;18,88677615;16,07432432;20,71836387;25,98580376;;;;;;;;
Muþ;533;2347;1586;1208;10237;35241;36606;34932;467;2202;2669;1735;315;414;187;62;;;;;21,92077088;16,00408719;13,71524916;20,13371758;32,4984127;24,72705314;195,7540107;563,4193548;19,20637899;15,01533873;23,08070618;28,91721854;;;;;;;;
Nevþehir;454;1158;1162;934;6915;17490;17054;21324;457;1250;1638;1599;175;125;106;62;;;;;15,13129103;13,992;10,41147741;13,3358349;39,51428571;55,32;160,8867925;343,9354839;15,23127753;15,10362694;14,67641997;22,83083512;;;;;;;;
Niðde;425;1477;1422;1061;7496;22626;22482;27699;441;1455;1942;1745;159;163;126;64;;;;;16,99773243;15,55051546;11,57672503;15,87335244;47,14465409;45,98773006;178,4285714;432,796875;17,63764706;15,31888964;15,81012658;26,1065033;;;;;;;;
Ordu;767;2182;1694;2141;14636;36965;38667;52723;963;2466;3399;3963;261;194;201;134;;;;;15,19833853;14,98986212;11,37599294;13,30381024;56,07662835;75,44329897;192,3731343;393,4552239;19,0821382;16,94087993;22,82585596;24,62540869;;;;;;;;
Rize;361;1301;877;1245;6778;16272;17034;25312;419;1162;1480;1999;121;87;97;81;;;;;16,17661098;14,00344234;11,50945946;12,66233117;56,01652893;77,90804598;175,6082474;312,4938272;18,77562327;12,50730208;19,42303307;20,33092369;;;;;;;;
Sakarya;1335;2734;3014;2762;26106;60803;57840;79199;1432;3773;4277;5105;385;284;268;157;;;;;18,23044693;16,11529287;13,52349778;15,51400588;67,80779221;91,92253521;215,8208955;504,4522293;19,55505618;22,23957571;19,19044459;28,67451122;;;;;;;;
Samsun;1702;4361;3826;3805;28848;72441;73161;101290;1843;4995;6577;7037;553;410;329;211;;;;;15,6527401;14,5027027;11,12376463;14,39391786;52,16636528;70,36097561;222,3738602;480,0473934;16,94947121;16,61109837;19,12205959;26,62023653;;;;;;;;
Siirt;401;1879;944;1140;9839;29054;29093;34250;486;1796;2151;1658;223;292;144;62;;;;;20,24485597;16,17706013;13,52533705;20,65741858;44,12107623;33,69520548;202,0347222;552,4193548;24,5361596;15,46248004;30,81885593;30,04385965;;;;;;;;
Sinop;209;684;479;580;3691;9356;9649;13263;258;676;858;1008;81;55;49;43;;;;;14,30620155;13,84023669;11,24592075;13,1577381;45,56790123;67,10909091;196,9183673;308,4418605;17,66028708;13,67836257;20,1440501;22,86724138;;;;;;;;
Sivas;607;2373;1875;1899;12627;33251;34448;48694;717;2324;3317;3340;247;285;209;127;;;;;17,61087866;14,30765921;10,38528791;14,57904192;51,12145749;44,30526316;164,8229665;383,4173228;20,80230643;14,01222082;18,37226667;25,6419168;;;;;;;;
Tekirdað;1031;2791;1861;2565;25941;65109;62014;82835;1251;3394;3714;4355;310;179;180;150;;;;;20,73621103;19,18355922;16,69736134;19,0206659;83,68064516;144,9217877;344,5222222;552,2333333;25,16100873;23,32819778;33,32294465;32,29434698;;;;;;;;
Tokat;540;1713;1461;1454;11494;28618;30479;43011;693;2087;2835;3200;291;266;172;116;;;;;16,58585859;13,71250599;10,75097002;13,4409375;39,49828179;43,21052632;177,2034884;370,7844828;21,28518519;16,70636311;20,86173854;29,58115543;;;;;;;;
Trabzon;829;2754;1959;2491;16649;41948;42467;55479;1046;2783;4183;4393;290;199;218;149;;;;;15,916826;15,07294287;10,15228305;12,62895516;57,41034483;83,66331658;194,8027523;372,3422819;20,08323281;15,23166304;21,67789689;22,2717784;;;;;;;;
Tunceli;84;238;166;234;1487;3110;2781;3522;99;244;310;303;29;28;25;23;;;;;15,02020202;12,74590164;8,970967742;11,62376238;51,27586207;53,10714286;111,24;153,1304348;17,70238095;13,06722689;16,75301205;15,05128205;;;;;;;;
Þanlýurfa;2250;8790;6896;6394;66581;252564;230234;206166;2725;11244;13012;9462;1114;1276;767;303;;;;;24,4333945;22,46211313;17,69397479;21,78883957;59,76750449;52,17946708;300,1747066;680,4158416;29,59155556;28,7331058;33,38660093;32,24366594;;;;;;;;
Uþak;433;1129;914;959;7512;18941;18267;23432;442;1419;1735;1717;157;120;95;64;;;;;16,99547511;13,34813249;10,52853026;13,64705882;47,84713376;62,6;192,2842105;366,125;17,34872979;16,77679362;19,98577681;24,43378519;;;;;;;;
Van;1295;5783;2770;3540;32533;99414;100849;119550;1437;5864;7280;5790;748;870;408;181;;;;;22,63952679;16,95327422;13,85288462;20,64766839;43,49331551;37,39425287;247,1789216;660,4972376;25,12200772;17,19073145;36,40758123;33,77118644;;;;;;;;
Yozgat;408;2077;884;1460;8321;21054;22608;30429;420;1559;2138;2102;168;177;169;99;;;;;19,81190476;13,50481078;10,57436857;14,47621313;49,5297619;47,01129944;133,7751479;307,3636364;20,39460784;10,13673568;25,57466063;20,84178082;;;;;;;;
Zonguldak;566;1630;1687;1562;9354;26843;28970;38129;665;2008;2405;2736;234;195;127;91;;;;;14,06616541;13,36802789;12,04573805;13,93603801;39,97435897;47,96923077;228,1102362;419;16,52650177;16,46809816;17,17249555;24,41037132;;;;;;;;
Aksaray;477;1711;1418;1210;8401;27235;27093;33858;589;1738;2272;1955;222;197;141;82;;;;;14,26315789;15,6703107;11,92473592;17,31867008;37,84234234;42,64467005;192,1489362;412,902439;17,61215933;15,91759205;19,10648801;27,98181818;;;;;;;;
Bayburt;106;230;345;233;1534;4207;4248;6055;97;295;452;335;32;44;57;16;;;;;15,81443299;14,26101695;9,398230088;18,07462687;47,9375;34,86363636;74,52631579;378,4375;14,47169811;18,29130435;12,31304348;25,98712446;;;;;;;;
Karaman;332;1115;819;858;5876;14731;14426;19130;395;1027;1267;1298;113;91;78;52;;;;;14,87594937;14,34371957;11,38595107;14,73805855;52;64,57142857;184,9487179;367,8846154;17,69879518;13,21165919;17,61416361;22,2960373;;;;;;;;
Kýrýkkale;311;991;879;785;4603;13885;14016;19391;353;1005;1237;1478;105;75;71;62;;;;;13,03966006;13,8159204;11,33063864;13,11975643;43,83809524;61,37333333;197,4084507;312,7580645;14,80064309;14,0110999;15,94539249;24,70191083;;;;;;;;
Batman;648;2890;1625;2223;16900;55061;54727;70961;817;2874;3654;3281;319;345;191;96;;;;;20,68543452;19,15831594;14,97728517;21,62785736;52,97805643;48,98550725;286,5287958;739,1770833;26,08024691;19,05224913;33,67815385;31,92127755;;;;;;;;
Þýrnak;559;2357;2152;1826;15388;49883;50760;63396;679;2799;3836;2615;302;306;260;97;;;;;22,66273932;17,82172204;13,23253389;24,24321224;50,95364238;50,2875817;195,2307692;653,5670103;27,52772809;21,1637675;23,58736059;34,71851041;;;;;;;;
Bartýn;192;617;605;489;3111;8665;8987;12648;207;617;837;895;96;65;45;35;;;;;15,02898551;14,04376013;10,73715651;14,13184358;32,40625;47,86153846;199,7111111;361,3714286;16,203125;14,04376013;14,85454545;25,86503067;;;;;;;;
Ardahan;108;396;386;371;1891;4941;5338;7611;119;420;568;554;69;77;55;27;;;;;15,8907563;11,76428571;9,397887324;13,73826715;27,4057971;24,55844156;97,05454545;281,8888889;17,50925926;12,47727273;13,82901554;20,5148248;;;;;;;;
Iðdýr;254;991;728;673;6148;15745;15421;17460;301;1088;1308;1038;129;139;92;37;;;;;20,42524917;14,47150735;11,78975535;16,82080925;47,65891473;44,23021583;167,6195652;471,8918919;24,20472441;15,88799193;21,18269231;25,9435364;;;;;;;;
Yalova;381;886;611;744;6766;15588;14952;18272;329;903;1158;1218;99;62;69;47;;;;;20,56534954;17,26245847;12,9119171;15,00164204;68,34343434;109,1290323;216,6956522;388,7659574;17,75853018;17,59367946;24,47135843;24,55913978;;;;;;;;
Karabük;239;560;581;747;4254;10484;11004;15784;318;749;1001;1294;88;59;72;47;;;;;13,37735849;13,99732977;10,99300699;12,19783617;48,34090909;72,10169492;152,8333333;335,8297872;17,79916318;18,72142857;18,93975904;21,12985274;;;;;;;;
Kilis;206;676;697;578;5816;19231;18222;16156;302;1033;1229;958;82;93;47;31;;;;;19,25827815;18,61665053;14,82668836;16,86430063;70,92682927;62,53763441;387,7021277;521,1612903;28,23300971;28,44822485;26,14347202;27,95155709;;;;;;;;
Osmaniye;545;2124;1709;1632;14457;44260;41723;50362;787;2591;3115;3112;228;178;137;103;;;;;18,36975858;17,08220764;13,39422151;16,18316195;63,40789474;81,21910112;304,5474453;488,9514563;26,5266055;20,83804143;24,41369222;30,85906863;;;;;;;;
Düzce;619;1535;919;1076;9705;21488;21247;31834;620;1415;1754;1923;191;109;104;63;;;;;15,65322581;15,18586572;12,11345496;16,55434217;50,81151832;89,03669725;204,2980769;505,3015873;15,67851373;13,99869707;23,11969532;29,58550186;;;;;;;;
