Province Name,#Classrooms - Kindergarten,#Classrooms - Primary School,#Classrooms - Secondary School,#Classrooms - High School,#Students - Kindergarten,#Students - Primary School,#Students - Secondary School,#Students -High School,#Teachers - Kindergarten,#Teachers - Primary School,#Teachers - Secondary School,#Teachers - High School,#Schools - Kindergarten,#Schools - Primary School,#Schools - Secondary School,#Schools - High School,Schooling Ratio - Kindergarten,Schooling Ratio - Primary School,Schooling Ratio - Secondary School,Schooling Ratio - High School,Student per Teacher - Kindergarten,Student per Teacher - Primary School,Student per Teacher - Secondary School,Student per Teacher - High School,Student per School - Kindergarten,Student per School - Primary School,Student per School - Secondary School,Student per School - High School,Student per Classroom - Kindergarten,Student per Classroom - Primary School,Student per Classroom - Secondary School,Student per Classroom - High School,Education Budget per Student,HDI Index,
Van,864,5216,1598,1958,21971,127722,123764,73779,939,4792,4471,2799,670,897,327,130,34.77,99.89,87.14,46.45,23.39829606,26.65317195,27.68150302,26.35905681,32.79253731,142.3879599,378.4831804,567.5307692,25.42939815,24.48657975,77.44931164,37.68079673,17.51905332,0.589,"6,083,246"
Yozgat,376,2770,614,1272,5450,32154,29500,32371,368,1995,2206,2104,231,301,203,116,43.68,99.18,88,72.92,14.80978261,16.11729323,13.37262013,15.38545627,23.59307359,106.8239203,145.320197,279.0603448,14.49468085,11.60794224,48.04560261,25.44889937,30.1947625,0.714,"3,003,624"
Zonguldak,368,1331,1778,1219,6542,34562,35720,38110,404,2158,2078,2294,234,263,149,100,44.3,100,98.13,85.9,16.19306931,16.01575533,17.18960539,16.61290323,27.95726496,131.4144487,239.7315436,381.1,17.77717391,25.96694215,20.08998875,31.2633306,29.12595055,0.679,"3,347,562"
Aksaray,317,1553,1204,771,5574,31381,28274,25671,332,1708,1705,1339,209,221,145,68,45.99,99.65,93.03,68.8,16.78915663,18.37295082,16.5829912,19.17176998,26.66985646,141.9954751,194.9931034,377.5147059,17.58359621,20.20669672,23.4833887,33.29571984,25.33531353,0.714,"2,302,980"
Bayburt,65,279,412,223,1007,5012,5188,6330,68,344,411,332,47,88,33,18,42.67,100,95.35,85.83,14.80882353,14.56976744,12.62287105,19.06626506,21.42553191,56.95454545,157.2121212,351.6666667,15.49230769,17.96415771,12.59223301,28.38565022,38.25357815,0.699,"670,853"
Karaman,186,993,740,611,3886,16308,16550,18838,246,995,1071,954,114,128,70,49,58.24,99.51,95.67,84.19,15.79674797,16.38994975,15.45284781,19.74633124,34.0877193,127.40625,236.4285714,384.4489796,20.89247312,16.42296073,22.36486486,30.8314239,30.18144363,0.714,"1,677,545"
Kırıkkale,181,979,716,779,3222,16199,17670,20537,200,1093,1167,1365,95,96,69,59,52.57,97.61,94.53,87.01,16.11,14.82067704,15.14138817,15.04542125,33.91578947,168.7395833,256.0869565,348.0847458,17.80110497,16.546476,24.67877095,26.36328626,39.2947352,0.714,"2,264,477"
Batman,398,2636,667,881,9454,64414,62552,51843,500,2665,2502,1760,250,409,174,60,28.81,99.85,91.05,62.86,18.908,24.17035647,25.00079936,29.45625,37.816,157.4914425,359.4942529,864.05,23.75376884,24.43626707,93.78110945,58.84562997,15.78358998,0.589,"2,971,466"
Şırnak,440,1452,2159,739,8282,64838,55592,41474,367,1928,2339,1235,243,294,230,56,22.2,99.84,88.51,57.8,22.56675749,33.62966805,23.76742198,33.58218623,34.08230453,220.537415,241.7043478,740.6071429,18.82272727,44.65426997,25.74895785,56.1217862,12.68178934,0.589,"2,158,263"
Bartın,131,685,554,416,2195,9839,10748,11669,147,623,735,763,83,78,50,36,48.85,100,98.07,86.45,14.93197279,15.7929374,14.62312925,15.29357798,26.44578313,126.1410256,214.96,324.1388889,16.75572519,14.36350365,19.40072202,28.05048077,33.32216772,0.679,"1,147,982"
Ardahan,104,492,353,302,1447,7430,7511,7585,89,406,515,452,76,93,58,28,39.72,99.99,94.42,75.91,16.25842697,18.30049261,14.58446602,16.78097345,19.03947368,79.89247312,129.5,270.8928571,13.91346154,15.10162602,21.2776204,25.11589404,36.27418346,0.654,"869,601"
Iğdır,113,791,433,381,3240,18563,18743,14588,168,918,1024,688,108,146,74,31,37.5,100,90.74,64.65,19.28571429,20.2211329,18.30371094,21.20348837,30,127.1438356,253.2837838,470.5806452,28.67256637,23.46776233,43.28637413,38.28871391,22.49167483,0.654,"1,240,056"
Yalova,146,818,387,470,2961,12442,13047,15050,172,794,852,912,77,59,58,37,52.53,98.59,95.5,85.13,17.21511628,15.67002519,15.31338028,16.50219298,38.45454545,210.8813559,224.9482759,406.7567568,20.28082192,15.21026895,33.71317829,32.0212766,26.55703448,0.734,"1,155,231"
Karabük,147,643,605,552,2656,11530,12869,14855,173,791,856,1102,71,61,65,47,55.96,99.31,97.17,90.94,15.35260116,14.57648546,15.0338785,13.4800363,37.4084507,189.0163934,197.9846154,316.0638298,18.06802721,17.93157076,21.27107438,26.91123188,39.33789072,0.679,"1,648,651"
Kilis,93,299,538,285,2051,11457,10622,10577,112,554,557,494,73,101,38,22,40.99,99.04,93.19,77.31,18.3125,20.68050542,19.07001795,21.41093117,28.09589041,113.4356436,279.5263158,480.7727273,22.05376344,38.31772575,19.74349442,37.1122807,26.10531017,0.589,"906,037"
Osmaniye,331,1840,833,945,7903,43027,39765,38835,475,2451,2268,2261,201,208,140,84,49.99,99.03,90.94,78.6,16.63789474,17.55487556,17.53306878,17.17602831,39.31840796,206.8605769,284.0357143,462.3214286,23.87613293,23.38423913,47.73709484,41.0952381,21.99177025,0.764,"2,848,594"
Düzce,300,1728,371,789,4816,22625,23186,25044,336,1339,1430,1426,163,168,115,59,45.51,99.1,96.01,81.88,14.33333333,16.89693801,16.21398601,17.56241234,29.54601227,134.672619,201.6173913,424.4745763,16.05333333,13.0931713,62.49595687,31.74144487,26.75854687,0.679,"2,024,846"
