Province Name,#Classrooms - Kindergarten,#Classrooms - Primary School,#Classrooms - Secondary School,#Classrooms - High School,#Students - Kindergarten,#Students - Primary School,#Students - Secondary School,#Students -High School,#Teachers - Kindergarten,#Teachers - Primary School,#Teachers - Secondary School,#Teachers - High School,#Schools - Kindergarten,#Schools - Primary School,#Schools - Secondary School,#Schools - High School,Schooling Ratio - Kindergarten,Schooling Ratio - Primary School,Schooling Ratio - Secondary School,Schooling Ratio - High School,Student per Teacher - Kindergarten,Student per Teacher - Primary School,Student per Teacher - Secondary School,Student per Teacher - High School,Student per School - Kindergarten,Student per School - Primary School,Student per School - Secondary School,Student per School - High School,Student per Classroom - Kindergarten,Student per Classroom - Primary School,Student per Classroom - Secondary School,Student per Classroom - High School,Education Budget per Student,HDI Index,,,,,,
Bilecik,136,762,346,615,3397,10796,11279,13631,191,687,657,917,67,60,53,45,,92.06,94.92,35.54,17.78534031,15.7147016,17.1674277,14.86477644,50.70149254,179.9333333,212.8113208,302.9111111,24.97794118,14.167979,32.5982659,22.16422764,40.7281027,0.797,"1,592,591",,,,,
Bingöl,199,1125,866,704,3980,20849,20454,23531,219,1125,1331,1251,127,259,90,43,,96.81,93.03,35.2,18.17351598,18.53244444,15.36739294,18.8097522,31.33858268,80.4980695,227.2666667,547.2325581,20,18.53244444,23.61893764,33.42471591,33.42828494,0.77,"2,300,334",,,,,
Bitlis,309,2288,1111,761,6426,34595,34003,28640,351,1786,2244,1429,245,457,172,54,,96.9,91.11,29.96,18.30769231,19.37010078,15.15285205,20.0419874,26.22857143,75.70021882,197.6918605,530.3703704,20.7961165,15.12019231,30.60576058,37.6346912,27.53658937,0.743,"2,854,553",,,,,
Bolu,175,1100,412,761,4107,14623,15079,19261,287,1043,1136,1351,86,77,75,47,,92.48,94.76,42.23,14.31010453,14.02013423,13.27376761,14.25684678,47.75581395,189.9090909,201.0533333,409.8085106,23.46857143,13.29363636,36.59951456,25.31011827,54.92114189,0.79,"2,914,665",,,,,
Burdur,222,1085,674,768,4299,12977,13484,16666,279,1112,1240,1270,127,110,90,52,,89.93,90.98,46.64,15.40860215,11.66996403,10.87419355,13.12283465,33.8503937,117.9727273,149.8222222,320.5,19.36486486,11.96036866,20.00593472,21.70052083,46.8864336,0.811,"2,223,636",,,,,
Bursa,1762,7452,3966,6518,43359,176845,172014,197404,2387,9693,9890,12567,723,503,477,325,,94.47,95.88,33.65,18.16464181,18.24460951,17.39271992,15.70812445,59.97095436,351.5805169,360.6163522,607.3969231,24.60783201,23.7312131,43.37216339,30.28597729,23.79094064,0.814,"14,027,662",,,,,
Çanakkale,303,1519,845,1166,6913,22697,23106,26878,460,1755,1750,2132,158,147,104,85,,91.87,95.34,46.9,15.02826087,12.93276353,13.20342857,12.60694184,43.75316456,154.4013605,222.1730769,316.2117647,22.81518152,14.94206715,27.3443787,23.05145798,43.163153,0.814,"3,435,528",,,,,
Çankırı,133,560,517,500,2627,8752,8986,11115,162,540,588,772,62,71,50,35,,86.93,88.64,36.95,16.21604938,16.20740741,15.28231293,14.39766839,42.37096774,123.2676056,179.72,317.5714286,19.7518797,15.62857143,17.38104449,22.23,47.06909149,0.797,"1,481,735",,,,,
Çorum,334,2145,1059,1660,7394,29410,31824,39035,459,1990,2307,2588,198,258,160,100,,91.66,93.79,41.38,16.10893246,14.77889447,13.79453836,15.08307573,37.34343434,113.9922481,198.9,390.35,22.13772455,13.71095571,30.0509915,23.51506024,33.55310552,0.797,"3,612,428",,,,,
Denizli,835,3285,2443,2582,17338,57751,57692,66818,1242,4142,4541,4810,401,305,251,150,,91.67,93.99,40.4,13.95974235,13.94278127,12.7046906,13.89147609,43.23690773,189.347541,229.8486056,445.4533333,20.76407186,17.58021309,23.61522718,25.87838885,34.33686542,0.811,"6,853,604",,,,,
Diyarbakır,1135,6474,3058,3073,29238,165394,152845,143930,1365,7503,7926,5905,818,980,396,176,,97.36,92.85,27.04,21.41978022,22.04371585,19.28400202,24.3742591,35.74327628,168.7693878,385.9722222,817.7840909,25.76035242,25.54742045,49.98201439,46.83696713,21.71063904,0.743,"10,668,760",,,,,
Edirne,266,1340,723,881,5778,17458,17419,20172,310,1312,1350,1735,134,118,95,65,,93.19,94.2,47.05,18.63870968,13.30640244,12.90296296,11.62651297,43.11940299,147.9491525,183.3578947,310.3384615,21.72180451,13.02835821,24.09266943,22.89670829,52.3839249,0.814,"3,186,357",,,,,
Elazığ,373,1812,1120,1547,8920,38120,37219,48463,512,2361,2422,2918,214,223,129,87,,95.43,95.63,43.9,17.421875,16.14570097,15.36705202,16.60829335,41.68224299,170.941704,288.5193798,557.045977,23.91420912,21.03752759,33.23125,31.32708468,37.2164223,0.743,"4,939,438",,,,,
Erzincan,186,899,682,696,3618,12119,12433,16657,209,924,1070,1138,111,113,71,52,,92.79,94.03,39.69,17.31100478,13.11580087,11.61962617,14.6370826,32.59459459,107.2477876,175.1126761,320.3269231,19.4516129,13.48053393,18.23020528,23.93247126,47.60735717,0.747,"2,134,095",,,,,
Erzurum,526,3287,2277,1843,11027,57943,60698,59921,620,3241,4281,3318,395,775,326,117,,95.77,93.35,36.76,17.78548387,17.87812404,14.17846298,18.05937312,27.9164557,74.76516129,186.190184,512.1452991,20.96387833,17.6279282,26.65700483,32.51275095,43.70983021,0.77,"8,286,903",,,,,
